St  Name                           Version                        Arch   Description                                                  Licenses
ii  hyphen-en-gb                   1:5.2.5-1                      all    English (GB) hyphenation patterns                            AGPL-3+ BSD-2-clause BSD-2-clause or CC-BY-3.0 BSD-3-clause CC-BY-3.0 CC-BY-4.0 CC-BY-SA-3.0 GFDL GPL GPL-2 GPL-2+ GPL-2 or LGPL-2.1 or MPL-1.1 GPL-2+ or LGPL-2.1 or MPL-1.1 GPL-2+ or LGPL-2.1+ or MPL-1.1 GPL-2+ or LGPL-2.1+ or MPL-1.1+ GPL-3 GPL-3+ GPL-3+ or LGPL-3+ GPL-3 or LGPL-3 or MPL-1.1 GPL-3+ or LGPL-3+ or MPL-1.1+ GPL or LGPL GPL or LGPL or MPL LGPL LGPL-2+ LGPL-2.1 LGPL-2.1+ LGPL-2.1 or GPL-2 or MPL-1.1 LGPL-3 LGPL-3+ LGPL-3+ or GPL-3+ LGPL-3 or MPL LGPL or SISSL LPPL-1.3 MPL-1.1 MPL-1.1 or GPL-2 or LGPL-2.1 MPL-1.1 or GPL-3+ or LGPL-3+ MPL-2 MPL-2.0 MPL or LGPL-3+ SISSL
ii  i2c-tools                      3.1.2-3                        armhf  heterogeneous set of I2C tools for Linux                     GPL GPL-2
ii  idle                           2.7.13-2                       all    IDE for Python using Tkinter (default version)               GPL-compatible GPL-compatible licenses
ii  idle-python2.7                 2.7.13-2+deb9u3                all    IDE for Python (v2.7) using Tkinter                          Apache-2.0 GPL-2
ii  idle-python3.5                 3.5.3-1+deb9u1                 all    IDE for Python (v3.5) using Tkinter                          Apache-2.0 GPL-2
ii  idle3                          3.5.3-1                        all    IDE for Python using Tkinter (default version)               GPL-compatible GPL-compatible licenses
ii  ifupdown                       0.8.19                         armhf  high level tools to configure network interfaces             GPL-2+
ii  info                           6.3.0.dfsg.1-1+b1              armhf  Standalone GNU Info documentation browser                    GPL-3
ii  init                           1.48                           armhf  metapackage ensuring an init system is installed             BSD-3-clause GPL-2+
ii  init-system-helpers            1.48                           all    helper tools for all init systems                            BSD-3-clause GPL-2+
ii  initramfs-tools                0.130                          all    generic modular initramfs generator (automation)             GPL-2
ii  initramfs-tools-core           0.130                          all    generic modular initramfs generator (core tools)             GPL-2
ii  install-info                   6.3.0.dfsg.1-1+b1              armhf  Manage installed documentation in info format                GPL-3
ii  iproute2                       4.9.0-1+deb9u1                 armhf  networking and traffic control tools                         GPL-2
ii  iptables                       1.6.0+snapshot20161117-6       armhf  administration tools for packet filtering and NAT            Artistic-2 custom GPL-2 GPL-2+
ii  iputils-ping                   3:20161105-1                   armhf  Tools to test the reachability of network hosts              GPL
ii  isc-dhcp-client                4.3.5-3+deb9u1                 armhf  DHCP client for automatically obtaining an IP address        GPL-2 ISC
ii  isc-dhcp-common                4.3.5-3+deb9u1                 armhf  common manpages relevant to all of the isc-dhcp packages     GPL-2 ISC
ii  iso-codes                      3.75-1                         all    ISO language, territory, currency, script codes and their tr LGPL-2.1+
ii  iw                             4.9-0.1                        armhf  tool for configuring Linux wireless devices                  ISC
ii  java-common                    0.58                           all    Base package for Java runtimes                               GPL-2+
ii  javascript-common              11                             all    Base support for JavaScript library packages                 GPL-2+
ii  kbd                            2.0.3-2                        armhf  Linux console font and keytable utilities                    GPL-2+ GPL-2-with-exceptions GPL-any
ii  keyboard-configuration         1.164                          all    system-wide keyboard preferences                             GPL-2
ii  keyutils                       1.5.9-9                        armhf  Linux Key Management Utilities                               GPL-2+ LGPL-2+
ii  klibc-utils                    2.0.4-9+rpi1                   armhf  small utilities built with klibc for early boot              GPL-2
ii  kmod                           23-2                           armhf  tools for managing Linux kernel modules                      GPL-2 LGPL-2.1
ii  laptop-detect                  0.13.8                         armhf  system chassis type checker                                  BSD-3-Clause
ii  leafpad                        0.8.18.1-5                     armhf  GTK+ based simple text editor                                GPL-2+ LGPL-2+
ii  less                           481-2.1                        armhf  pager program similar to more                                GPL-3
ii  liba52-0.7.4:armhf             0.7.4-19                       armhf  library for decoding ATSC A/52 streams                       GPL-2+
ii  libaa1:armhf                   1.4p5-44                       armhf  ASCII art library                                            LGPL
ii  libacl1:armhf                  2.2.52-3                       armhf  Access control list shared library                           GPL LGPL-2.1
ii  libalgorithm-diff-perl         1.19.03-1                      all    module to find differences between files                     Artistic Artistic or GPL-1+ GPL-1+
ii  libalgorithm-diff-xs-perl      0.04-4+b2                      armhf  module to find differences between files (XS accelerated)    Artistic Artistic or GPL-1+ GPL-1+
ii  libalgorithm-merge-perl        0.08-3                         all    Perl module for three-way merge of textual data              Artistic Artistic or GPL-1+ GPL-1+
ii  libapparmor1:armhf             2.11.0-3+deb9u2                armhf  changehat AppArmor library                                   BSD-3-clause BSD-3-clause or GPL-2+ GPL-2 GPL-2+ LGPL-2.1+
ii  libapt-inst2.0:armhf           1.4.9                          armhf  deb package format runtime library                           GPL-2
ii  libapt-pkg5.0:armhf            1.4.9                          armhf  package management runtime library                           GPL-2
