St  Name                           Version                        Arch   Description                                                  Licenses
ii  perl-modules-5.24              5.24.1-3+deb9u5                all    Core Perl modules                                            Artistic Artistic-2 BSD-3-clause BSD-3-clause-GENERIC BSD-3-clause-with-weird-numbering BSD-4-clause-POWERDOG BZIP CC0-1.0 DONT-CHANGE-THE-GPL Expat Expat or GPL-1+ or Artistic GPL-1+ GPL-1+ or Artistic GPL-1+ or Artistic, GPL-2+ GPL-2+ or Artistic GPL-3+-WITH-BISON-EXCEPTION HSIEH-BSD HSIEH-DERIVATIVE HSIEH-DERIVATIVE or HSIEH-BSD or LGPL-2.1 LGPL-2.1 REGCOMP REGCOMP, RRA-KEEP-THIS-NOTICE S2P SDBM-PUBLIC-DOMAIN TEXT-TABS Unicode ZLIB
ii  pi-bluetooth                   0.1.10                         all    Raspberry Pi 3 bluetooth                                     BSD-3-Clause
ii  pi-greeter                     0.9                            armhf  GTK greeter for Raspberry Pi                                 GPL-2+
ii  pi-language-support            0.1                            armhf  Determines additional packages required for language support BSD-3-Clause
ii  pi-package                     0.5                            armhf  Graphical distribution neutral package manager for GNOME     GFDL-NIV-1.1+ GPL-2+
ii  pi-package-data                0.5                            all    Data files for GNOME-PackageKit                              GFDL-NIV-1.1+ GPL-2+
ii  pi-package-session             0.5                            armhf  Provides PackageKit session API for GNOME                    GFDL-NIV-1.1+ GPL-2+
ii  piclone                        0.11                           armhf  SD Card backup program for Raspberry Pi                      GPL-2+
ii  pigpio                         1.64-1                         armhf  Library for Raspberry Pi GPIO control                        unlicense
ii  pimixer                        0.20170803~152204              armhf  Fork of Xfce mixer application for the Raspberry Pi          GPL
ii  pinentry-curses                1.0.0-2                        armhf  curses-based PIN or pass-phrase entry dialog for GnuPG       GPL-2+ LGPL-3+ LGPL-3+ or GPL-2+ X11
ii  pipanel                        20181126~094616                armhf  Settings panel for Raspberry Pi desktop appearance           GPL-2+
ii  pishutdown                     0.9                            armhf  Desktop shutdown helper for Raspberry Pi                     GPL-2+
ii  piwiz                          0.2                            armhf  Raspberry Pi first-run wizard                                BSD-3-Clause
ii  pkg-config                     0.29-4                         armhf  manage compile and link flags for libraries                  GPL
ii  plymouth                       0.9.2-4+rpi1                   armhf  boot animation, logger and I/O multiplexer                   GPL-2+ other
ii  plymouth-themes                0.9.2-4+rpi1                   armhf  boot animation, logger and I/O multiplexer - themes          GPL-2+ other
ii  point-rpi                      0.20160905                     armhf  Locate the mouse pointer over the menu button                BSD-3-Clause
ii  policykit-1                    0.105-18+deb9u1                armhf  framework for managing administrative policies and privilege Apache-2.0 LGPL-2.0+
ii  poppler-data                   0.4.7-8                        all    encoding data for the poppler PDF rendering library          BSD-3-cluase GPL-2 MIT
ii  pprompt                        0.13                           all    ssh password check                                           GPL-2+
ii  procps                         2:3.3.12-3+deb9u1              armhf  /proc file system utilities                                  GPL-2.0+ LGPL-2.0+ LGPL-2.1+
ii  psmisc                         22.21-2.1                      armhf  utilities that use the proc file system                      GPL-2+
ii  pulseaudio                     10.0-1+deb9u1                  armhf  PulseAudio sound server                                      GPL-2 LGPL-2 LGPL-2.1
ii  pulseaudio-utils               10.0-1+deb9u1                  armhf  Command line tools for the PulseAudio sound server           GPL-2 LGPL-2 LGPL-2.1
ii  pypy                           5.6.0+dfsg-4+rpi1              armhf  fast alternative implementation of Python - PyPy interpreter Apache-2.0 BSD-2-generic BSD-3-Bendersky BSD-3-Cambridge-Google BSD-3-Dabeaz BSD-3-DigitalCreations BSD-3-generic BSD-3-Google bsddb BSD-pyunit BSD-undefined Expat MIT-Ellinghouse MIT-Lucent MIT-OMalley MIT-Rushing MIT-Sajip MIT-SecretLabs Python-2.0 SunPro-Attribution Tcl trace Unicode-Data Zlib
ii  pypy-lib:armhf                 5.6.0+dfsg-4+rpi1              armhf  standard library for PyPy (an alternative Python interpreter Apache-2.0 BSD-2-generic BSD-3-Bendersky BSD-3-Cambridge-Google BSD-3-Dabeaz BSD-3-DigitalCreations BSD-3-generic BSD-3-Google bsddb BSD-pyunit BSD-undefined Expat MIT-Ellinghouse MIT-Lucent MIT-OMalley MIT-Rushing MIT-Sajip MIT-SecretLabs Python-2.0 SunPro-Attribution Tcl trace Unicode-Data Zlib
ii  python                         2.7.13-2                       armhf  interactive high-level object-oriented language (default ver GPL-compatible GPL-compatible licenses
ii  python-all                     2.7.13-2                       armhf  package depending on all supported Python runtime versions   GPL-compatible GPL-compatible licenses
ii  python-all-dev                 2.7.13-2                       armhf  package depending on all supported Python development packag GPL-compatible GPL-compatible licenses
ii  python-apt-common              1.1.0~beta5                    all    Python interface to libapt-pkg (locales)                     GPL-2+ Permissive
ii  python-automationhat           0.1.0                          all    Python library for the Pimoroni Automation HAT               MIT
ii  python-blinker                 1.3.dfsg2-1                    all    Fast, simple object-to-object and broadcast signaling librar BSD BSD3 Expat
ii  python-blinkt                  0.1.2                          all    Python library for the Pimoroni Blinkt!                      MIT
ii  python-buttonshim              0.0.2                          all    Python library for the Pimoroni Button SHIM                  MIT
ii  python-cap1xxx                 0.1.3                          all    python library designed to drive various Microchip CAP1xxx t MIT
ii  python-cffi-backend            1.9.1-2                        armhf  Foreign Function Interface for Python calling C code - backe Expat
ii  python-chardet                 2.3.0-2                        all    universal character encoding detector for Python2            LGPL-2.1+
ii  python-click                   6.6-1                          all    Simple wrapper around optparse for powerful command line uti BSD-3-clause
ii  python-colorama                0.3.7-1                        all    Cross-platform colored terminal text in Python - Python 2.x  BSD-3 GPL-2+
ii  python-crypto                  2.6.1-7                        armhf  cryptographic algorithms and protocols for Python            BSD-3-clause public-domain
ii  python-cryptography            1.7.1-3+b2                     armhf  Python library exposing cryptographic recipes and primitives Apache Expat
ii  python-dbus                    1.2.4-1                        armhf  simple interprocess messaging system (Python interface)      MIT
ii  python-dev                     2.7.13-2                       armhf  header files and a static library for Python (default)       GPL-compatible GPL-compatible licenses
ii  python-drumhat                 0.1.0                          all    Python library for the Pimoroni Drum HAT.                    MIT
ii  python-enum34                  1.1.6-1                        all    backport of Python 3.4's enum package                        GPL-3
ii  python-envirophat              1.0.0                          all    Python library for the Pimoroni Enviro pHAT.                 MIT
ii  python-explorerhat             0.4.2                          all    python library designed to control the Explorer HAT and pHAT MIT
ii  python-flask                   0.12.1-1                       all    micro web framework based on Werkzeug and Jinja2 - Python 2. BSD-3-clause
ii  python-fourletterphat          0.1.0                          all    Python library for the Pimoroni Four Letter pHAT             MIT
ii  python-gi                      3.22.0-2                       armhf  Python 2.x bindings for gobject-introspection libraries      Expat LGPL-2.1+
ii  python-gpiozero                1.4.1                          all    Simple API for controlling devices attached to a Pi's GPIO p BSD-3-Clause
ii  python-idna                    2.2-1                          all    Python IDNA2008 (RFC 5891) handling (Python 2)               BSD-3-clause PSF-2 Unicode
ii  python-ipaddress               1.0.17-1                       all    Backport of Python 3 ipaddress module (Python 2)             Expat PSF-2
ii  python-itsdangerous            0.24+dfsg1-2                   all    Various helpers to pass trusted data to untrusted environmen BSD-3-clause GPL-3+
ii  python-jinja2                  2.8-1                          all    small but fast and easy to use stand-alone template engine   GPL
ii  python-jwt                     1.4.2-1+deb9u1                 all    Python implementation of JSON Web Token                      Expat
ii  python-keyring                 10.1-1                         all    store and access your passwords safely                       GPL-3 MIT PSF-2
ii  python-keyrings.alt            1.3-1                          all    alternate backend implementations for python-keyring         Expat
ii  python-markupsafe              0.23-3                         armhf  HTML/XHTML/XML string library for Python                     unknown
ii  python-microdotphat            0.2.1                          all    Python library for the Pimoroni Micro Dot pHAT.              MIT
ii  python-minimal                 2.7.13-2                       armhf  minimal subset of the Python language (default version)      GPL-compatible GPL-compatible licenses
ii  python-mote                    0.0.4                          all    python library designed to control Mote.                     MIT
ii  python-motephat                0.0.2                          all    python library designed to control Mote pHAT                 MIT
ii  python-numpy                   1:1.12.1-3                     armhf  Numerical Python adds a fast array facility to the Python la public domain
ii  python-oauthlib                2.0.1-1                        all    generic, spec-compliant implementation of OAuth for Python   BSD-3-clause
ii  python-openssl                 16.2.0-1                       all    Python 2 wrapper around the OpenSSL library                  Apache 2.0 This code is in the public domain.
ii  python-pantilthat              0.0.7                          all    Python library for the Pimoroni Pan-Tilt HAT                 MIT
ii  python-phatbeat                0.1.1                          all    Python library for the Pimoroni pHAT BEAT.                   MIT
ii  python-pianohat                0.1.0                          all    Python library for the Pimoroni Piano HAT.                   MIT
ii  python-picamera                1.13                           armhf  Pure Python interface to the Raspberry Pi's camera module.   BSD-3-Clause GPL-2+ public-domain
ii  python-picraft                 1.0                            all    Alternative API for controlling Minecraft from Python.       BSD-3-Clause
ii  python-piglow                  1.2.4                          all    python library designed to drive Piglow.                     MIT
ii  python-pigpio                  1.64-1                         all    Python module which talks to the pigpio daemon (Python 2)    unlicense
ii  python-pil:armhf               4.0.0-4                        armhf  Python Imaging Library (Pillow fork)                         unknown
ii  python-pip                     9.0.1-2+rpt2                   all    Python package installer                                     Expat public-domain
ii  python-pip-whl                 9.0.1-2+rpt2                   all    Python package installer                                     Expat public-domain
ii  python-pkg-resources           33.1.1-1                       all    Package Discovery and Resource Access using pkg_resources    GPL-compatible GPL-compatible licenses
ii  python-pyasn1                  0.1.9-2                        all    ASN.1 library for Python (Python 2 module)                   BSD-2-clause GPL-2+
ii  python-pygame                  1.9.3+dfsg-2                   armhf  SDL bindings for games development (Python 2)                BSD-2-clause Expat LGPL-2+ LGPL-2.1+ public-domain
ii  python-pyinotify               0.9.6-1                        all    simple Linux inotify Python bindings                         Expat GPL-2
ii  python-rainbowhat              0.1.0                          all    Python library for the Pimoroni Rainbow HAT                  MIT
ii  python-requests                2.12.4-1                       all    elegant and simple HTTP library for Python2, built for human Apache BSD-3-clause Expat LGPL-2.1+ MPL-2.0 PSF-2
ii  python-requests-oauthlib       0.7.0-0.1                      all    module providing OAuthlib auth support for requests (Python  GPL-3+ ISC
ii  python-rpi.gpio                0.6.5~stretch-1                armhf  Python GPIO module for Raspberry Pi                          MIT
ii  python-rtimulib                7.2.1-4                        armhf  Versatile C++ and Python 9-dof, 10-dof and 11-dof IMU librar BSD-2-Clause BSD-3-Clause GPL-3.0+ MIT
ii  python-scrollphat              0.0.7                          all    python library designed to control Scroll pHAT.              MIT
ii  python-scrollphathd            1.2.1                          all    Python library for the Pimoroni Scroll pHAT HD.              MIT
ii  python-secretstorage           2.3.1-2                        all    Python module for storing secrets - Python 2.x version       BSD-3-clause
ii  python-sense-hat               2.2.0-1                        armhf  Sense HAT python library (Python 2)                          BSD-3-Clause
ii  python-serial                  3.2.1-1                        all    pyserial - module encapsulating access for the serial port   unknown
ii  python-setuptools              33.1.1-1                       all    Python Distutils Enhancements                                GPL-compatible GPL-compatible licenses
ii  python-simplejson              3.10.0-1                       armhf  simple, fast, extensible JSON encoder/decoder for Python 2.x MIT
ii  python-six                     1.10.0-3                       all    Python 2 and 3 compatibility library (Python 2 interface)    Expat
ii  python-skywriter               0.0.7                          all    python library designed to control Skywriter.                MIT
ii  python-smbus:armhf             3.1.2-3                        armhf  Python bindings for Linux SMBus access through i2c-dev       GPL GPL-2
ii  python-sn3218                  1.2.7                          all    python library to help control the SN3218 18-channel PWM LED MIT
ii  python-spidev                  20170223~145721-1              all    Bindings for Linux SPI access through spidev (Python 2)      GPL-2.0+
ii  python-talloc                  2.1.8-1                        armhf  hierarchical pool based memory allocator - Python bindings   BSD-3 ISC LGPL-3+
ii  python-tk                      2.7.13-1                       armhf  Tkinter - Writing Tk applications with Python                GPL-compatible GPL-compatible licenses
ii  python-touchphat               0.0.1                          all    python library designed to control Touch pHAT                MIT
ii  python-twython                 3.4.0-1                        all    Pure Python wrapper for the Twitter API                      MIT
ii  python-unicornhathd            0.0.4                          all    Python library for the Pimoroni Unicorn HAT HD.              MIT
ii  python-urllib3                 1.19.1-1                       all    HTTP library with thread-safe connection pooling for Python  Expat PSF-2
ii  python-werkzeug                0.11.15+dfsg1-1                all    collection of utilities for WSGI applications (Python 2.x)   BSD-3-clause GAP
ii  python-wheel                   0.29.0-2                       all    built-package format for Python                              Expat/MIT GPL-3
ii  python-xdg                     0.25-4                         all    Python 2 library to access freedesktop.org standards         LGPL-2
ii  python2.7                      2.7.13-2+deb9u3                armhf  Interactive high-level object-oriented language (version 2.7 Apache-2.0 GPL-2
ii  python2.7-dev                  2.7.13-2+deb9u3                armhf  Header files and a static library for Python (v2.7)          Apache-2.0 GPL-2
ii  python2.7-minimal              2.7.13-2+deb9u3                armhf  Minimal subset of the Python language (version 2.7)          Apache-2.0 GPL-2
ii  python3                        3.5.3-1                        armhf  interactive high-level object-oriented language (default pyt GPL-compatible GPL-compatible licenses
ii  python3-apt                    1.1.0~beta5                    armhf  Python 3 interface to libapt-pkg                             GPL-2+ Permissive
ii  python3-automationhat          0.1.0                          all    Python library for the Pimoroni Automation HAT               MIT
ii  python3-blinker                1.3.dfsg2-1                    all    fast, simple object-to-object and broadcast signaling librar BSD BSD3 Expat
ii  python3-blinkt                 0.1.2                          all    Python library for the Pimoroni Blinkt!                      MIT
ii  python3-buttonshim             0.0.2                          all    Python library for the Pimoroni Button SHIM                  MIT
ii  python3-cap1xxx                0.1.3                          all    python library designed to drive various Microchip CAP1xxx t MIT
ii  python3-cffi-backend           1.9.1-2                        armhf  Foreign Function Interface for Python 3 calling C code - run Expat
ii  python3-chardet                2.3.0-2                        all    universal character encoding detector for Python3            LGPL-2.1+
ii  python3-click                  6.6-1                          all    Simple wrapper around optparse for powerful command line uti BSD-3-clause
ii  python3-colorama               0.3.7-1                        all    Cross-platform colored terminal text in Python - Python 3.x  BSD-3 GPL-2+
ii  python3-crypto                 2.6.1-7                        armhf  cryptographic algorithms and protocols for Python 3          BSD-3-clause public-domain
ii  python3-cryptography           1.7.1-3+b2                     armhf  Python library exposing cryptographic recipes and primitives Apache Expat
ii  python3-dbus                   1.2.4-1                        armhf  simple interprocess messaging system (Python 3 interface)    MIT
ii  python3-dev                    3.5.3-1                        armhf  header files and a static library for Python (default)       GPL-compatible GPL-compatible licenses
ii  python3-drumhat                0.1.0                          all    Python library for the Pimoroni Drum HAT.                    MIT
ii  python3-envirophat             1.0.0                          all    Python library for the Pimoroni Enviro pHAT.                 MIT
ii  python3-explorerhat            0.4.2                          all    python library designed to control the Explorer HAT and pHAT MIT
ii  python3-flask                  0.12.1-1                       all    micro web framework based on Werkzeug and Jinja2 - Python 3. BSD-3-clause
ii  python3-fourletterphat         0.1.0                          all    python library for the Pimoroni Four Letter pHAT             MIT
ii  python3-gi                     3.22.0-2                       armhf  Python 3 bindings for gobject-introspection libraries        Expat LGPL-2.1+
ii  python3-gpiozero               1.4.1                          all    Simple API for controlling devices attached to a Pi's GPIO p BSD-3-Clause
ii  python3-idna                   2.2-1                          all    Python IDNA2008 (RFC 5891) handling (Python 3)               BSD-3-clause PSF-2 Unicode
ii  python3-itsdangerous           0.24+dfsg1-2                   all    Various helpers to pass trusted data to untrusted environmen BSD-3-clause GPL-3+
ii  python3-jinja2                 2.8-1                          all    small but fast and easy to use stand-alone template engine   GPL
ii  python3-jwt                    1.4.2-1+deb9u1                 all    Python 3 implementation of JSON Web Token                    Expat
ii  python3-keyring                10.1-1                         all    store and access your passwords safely - Python 3 version of GPL-3 MIT PSF-2
ii  python3-keyrings.alt           1.3-1                          all    alternate backend implementations for python3-keyring        Expat
ii  python3-markupsafe             0.23-3                         armhf  HTML/XHTML/XML string library for Python 3                   unknown
ii  python3-microdotphat           0.2.1                          all    Python library for the Pimoroni Micro Dot pHAT.              MIT
ii  python3-minimal                3.5.3-1                        armhf  minimal subset of the Python language (default python3 versi GPL-compatible GPL-compatible licenses
ii  python3-mote                   0.0.4                          all    python library designed to control Mote.                     MIT
ii  python3-motephat               0.0.2                          all    python library designed to control Mote pHAT                 MIT
ii  python3-numpy                  1:1.12.1-3                     armhf  Fast array facility to the Python 3 language                 public domain
ii  python3-oauthlib               2.0.1-1                        all    generic, spec-compliant implementation of OAuth for Python3  BSD-3-clause
ii  python3-openssl                16.2.0-1                       all    Python 3 wrapper around the OpenSSL library                  Apache 2.0 This code is in the public domain.
ii  python3-pantilthat             0.0.7                          all    Python library for the Pimoroni Pan-Tilt HAT                 MIT
ii  python3-pgzero                 1.2.post1-2                    all    Zero-boilerplate games programming framework based on Pygame LGPL-3.0+
ii  python3-phatbeat               0.1.1                          all    Python library for the Pimoroni pHAT BEAT.                   MIT
ii  python3-pianohat               0.1.0                          all    Python library for the Pimoroni Piano HAT.                   MIT
ii  python3-picamera               1.13                           armhf  Pure Python interface to the Raspberry Pi's camera module.   BSD-3-Clause GPL-2+ public-domain
ii  python3-picraft                1.0                            all    Alternative API for controlling Minecraft from Python.       BSD-3-Clause
ii  python3-piglow                 1.2.4                          all    python library designed to drive Piglow.                     MIT
ii  python3-pigpio                 1.64-1                         all    Python module which talks to the pigpio daemon (Python 3)    unlicense
ii  python3-pil:armhf              4.0.0-4                        armhf  Python Imaging Library (Python3)                             unknown
ii  python3-pip                    9.0.1-2+rpt2                   all    Python package installer                                     Expat public-domain
ii  python3-pkg-resources          33.1.1-1                       all    Package Discovery and Resource Access using pkg_resources    GPL-compatible GPL-compatible licenses
ii  python3-pyasn1                 0.1.9-2                        all    ASN.1 library for Python (Python 3 module)                   BSD-2-clause GPL-2+
ii  python3-pygame                 1.9.3+dfsg-2                   armhf  SDL bindings for games development (Python 3)                BSD-2-clause Expat LGPL-2+ LGPL-2.1+ public-domain
ii  python3-pyinotify              0.9.6-1                        all    simple Linux inotify Python bindings                         Expat GPL-2
ii  python3-rainbowhat             0.1.0                          all    Python library for the Pimoroni Rainbow HAT                  MIT
ii  python3-requests               2.12.4-1                       all    elegant and simple HTTP library for Python3, built for human Apache BSD-3-clause Expat LGPL-2.1+ MPL-2.0 PSF-2
ii  python3-requests-oauthlib      0.7.0-0.1                      all    module providing OAuthlib auth support for requests (Python  GPL-3+ ISC
ii  python3-rpi.gpio               0.6.5~stretch-1                armhf  Python 3 GPIO module for Raspberry Pi                        MIT
ii  python3-rtimulib               7.2.1-4                        armhf  Versatile C++ and Python 9-dof, 10-dof and 11-dof IMU librar BSD-2-Clause BSD-3-Clause GPL-3.0+ MIT
ii  python3-scrollphat             0.0.7                          all    python library designed to control Scroll pHAT.              MIT
ii  python3-scrollphathd           1.2.1                          all    Python library for the Pimoroni Scroll pHAT HD.              MIT
ii  python3-secretstorage          2.3.1-2                        all    Python module for storing secrets - Python 3.x version       BSD-3-clause
ii  python3-sense-hat              2.2.0-1                        armhf  Sense HAT python library (Python 3)                          BSD-3-Clause
ii  python3-serial                 3.2.1-1                        all    pyserial - module encapsulating access for the serial port   unknown
ii  python3-setuptools             33.1.1-1                       all    Python3 Distutils Enhancements                               GPL-compatible GPL-compatible licenses
ii  python3-simplejson             3.10.0-1                       armhf  simple, fast, extensible JSON encoder/decoder for Python 3.x MIT
ii  python3-six                    1.10.0-3                       all    Python 2 and 3 compatibility library (Python 3 interface)    Expat
ii  python3-skywriter              0.0.7                          all    python library designed to control Skywriter.                MIT
ii  python3-smbus:armhf            3.1.2-3                        armhf  Python 3 bindings for Linux SMBus access through i2c-dev     GPL GPL-2
ii  python3-sn3218                 1.2.7                          all    python library to help control the SN3218 18-channel PWM LED MIT
ii  python3-spidev                 20170223~145721-1              all    Bindings for Linux SPI access through spidev (Python 3)      GPL-2.0+
ii  python3-tk:armhf               3.5.3-1                        armhf  Tkinter - Writing Tk applications with Python 3.x            GPL-compatible GPL-compatible licenses
ii  python3-touchphat              0.0.1                          all    python library designed to control Touch pHAT                MIT
ii  python3-twython                3.4.0-1                        all    Pure Python3 wrapper for the Twitter API                     MIT
ii  python3-unicornhathd           0.0.4                          all    Python library for the Pimoroni Unicorn HAT HD.              MIT
ii  python3-urllib3                1.19.1-1                       all    HTTP library with thread-safe connection pooling for Python3 Expat PSF-2
ii  python3-werkzeug               0.11.15+dfsg1-1                all    collection of utilities for WSGI applications (Python 3.x)   BSD-3-clause GAP
ii  python3-wheel                  0.29.0-2                       all    built-package format for Python                              Expat/MIT GPL-3
ii  python3-xdg                    0.25-4                         all    Python 3 library to access freedesktop.org standards         LGPL-2
ii  python3.5                      3.5.3-1+deb9u1                 armhf  Interactive high-level object-oriented language (version 3.5 Apache-2.0 GPL-2
ii  python3.5-dev                  3.5.3-1+deb9u1                 armhf  Header files and a static library for Python (v3.5)          Apache-2.0 GPL-2
ii  python3.5-minimal              3.5.3-1+deb9u1                 armhf  Minimal subset of the Python language (version 3.5)          Apache-2.0 GPL-2
ii  qpdfview                       0.4.14-1+rpt1                  armhf  tabbed document viewer                                       GPL-2+ MIT/X11-like
ii  qpdfview-djvu-plugin           0.4.14-1+rpt1                  armhf  tabbed document viewer - DjVu plugin                         GPL-2+ MIT/X11-like
ii  qpdfview-ps-plugin             0.4.14-1+rpt1                  armhf  tabbed document viewer - PostScript plugin                   GPL-2+ MIT/X11-like
ii  qpdfview-translations          0.4.14-1+rpt1                  all    tabbed document viewer - translations                        GPL-2+ MIT/X11-like
ii  qt5-gtk-platformtheme:armhf    5.7.1+dfsg-3+rpi1              armhf  Qt 5 GTK+ 3 platform theme                                   Apache-2.0 brg-endian BSD-3-clause Expat FTL GFDL-NIV-1.3 GPL-2 GPL-2+ GPL-2+ or FTL GPL-3 with Qt-1.0 exception Harfbuzz Hybrid-BSD LGPL-2.1-or-3 with Qt-1.1 exception LGPL-3 LGPL-3 or GPL-2 LGPL-3 or GPL-2+ libjpeg libpng MIT public-domain Unicode W3C wintab Zlib
ii  qt5-style-plugins:armhf        5.0.0+git16.g7aa4764-1         armhf  Qt 5 extra widget styles                                     GPL-3 LGPL-2.1 LGPL-2.1 with Qt-1.1 exception LGPL-2.1 with Qt-1.1 exception or GPL-3
ii  qt5ct                          0.34-1~bpo9+rpt1               armhf  Qt5 Configuration Utility                                    BSD-2-clause
ii  qttranslations5-l10n           5.7.1~20161021-1               all    translations for Qt 5                                        LGPL-2.1 LGPL-2.1-or-3 with Qt-1.1 exception
ii  raspberrypi-artwork            20150921                       all    Copy of the Raspberry Pi logo                                unknown
ii  raspberrypi-bootloader         1.20181112-1                   armhf  Raspberry Pi bootloader                                      Broadcom GPL-2 MIT or Apache-2 (FIXME)
hi  raspberrypi-kernel             1.20181112-1                   armhf  Raspberry Pi bootloader                                      Broadcom GPL-2 MIT or Apache-2 (FIXME)
ii  raspberrypi-net-mods           1.2.7                          all    Network configuration for the Raspberry Pi UI                unknown
ii  raspberrypi-sys-mods           20181127                       armhf  System tweaks for the Raspberry Pi                           BSD-3-Clause
ii  raspberrypi-ui-mods            1.20181206                     all    Config to customise the LXDE UI for the Raspberry Pi         GPL-2+
ii  raspbian-archive-keyring       20120528.2                     all    GnuPG archive keys of the raspbian archive                   GPL-2
ii  raspi-config                   20181118                       all    Raspberry Pi configuration tool                              unknown
ii  raspi-copies-and-fills         0.6                            armhf  ARM-accelerated versions of selected functions from string.h BSD-3-Clause
ii  raspi-gpio                     0.20171123                     armhf  Dump the state of the BCM270x GPIOs                          BSD-3-Clause
ii  rc-gui                         1.21                           armhf  raspi-config GUI                                             BSD-3-Clause
ii  read-edid                      3.0.2-1                        armhf  hardware information-gathering tool for VESA PnP monitors    GPL-2 GPL-2+
ii  readline-common                7.0-3                          all    GNU readline and history libraries, common files             GFDL GPL-3
ii  realvnc-vnc-server             6.4.0.39899                    armhf  VNC® Server                                                 unknown
ii  rename                         0.20-4                         all    Perl extension for renaming multiple files                   Artistic Artistic or GPL-1+ GPL-1+
ii  rfkill                         0.5-1                          armhf  tool for enabling and disabling wireless devices             unknown
ii  rp-prefapps                    0.5                            armhf  Raspberry Pi recommended applications                        BSD-3-Clause
ii  rpcbind                        0.2.3-0.6                      armhf  converts RPC program numbers into universal addresses        GPL-3
ii  rpd-icons                      0.18                           all    Icons for Raspberry Pi Desktop                               GPL-2+
ii  rpd-plym-splash                0.17                           armhf  Raspberry Pi Desktop splashscreen                            GPL-2+
ii  rpd-wallpaper                  0.4                            all    Wallpaper for Raspberry Pi Desktop                           Proprietary
ii  rpi-chromium-mods              20190103                       armhf  Raspberry Pi-specific mods to Chromium                       GPL-2+
ii  rpi-update                     20140705                       all    Raspberry Pi firmware updating tool                          unknown
ii  rsync                          3.1.2-1+deb9u1                 armhf  fast, versatile, remote (and local) file-copying tool        GPL-3
ii  rsyslog                        8.24.0-1                       armhf  reliable system and kernel logging daemon                    Apache-2.0 BSD-3-clause GPL-3.0+ LGPL-3.0+
ii  rtkit                          0.11-4                         armhf  Realtime Policy and Watchdog Daemon                          Expat GPL-3+
ii  samba-common                   2:4.5.12+dfsg-2+deb9u4         all    common files used by both the Samba server and client        BSD-3 GPL-3 GPL-3+ LGPL-3+ MS-ADSL
ii  samba-libs:armhf               2:4.5.12+dfsg-2+deb9u4         armhf  Samba core libraries                                         BSD-3 GPL-3 GPL-3+ LGPL-3+ MS-ADSL
ii  scrot                          0.8-18                         armhf  command line screen capture utility                          BSD-3-Clause LGPL-2+ MIT-advertising
ii  sed                            4.4-1                          armhf  GNU stream editor for filtering/transforming text            GPL-3
ii  sense-hat                      1.2                            all    Sense HAT configuration, libraries and examples              unknown
ii  sensible-utils                 0.0.9+deb9u1                   all    Utilities for sensible alternative selection                 GPL-2
ii  sgml-base                      1.29                           all    SGML infrastructure and SGML catalog file support            GPL-2+
ii  shared-mime-info               1.8-1+deb9u1                   armhf  FreeDesktop.org shared MIME database and spec                GPL
ii  ssh                            1:7.4p1-10+deb9u4              all    secure shell client and server (metapackage)                 Beer-ware BSD-3-clause CORE-SDI-BSD-style Expat-with-advertising-restriction GPL-2 with OpenSSH-linking exception Mazieres-BSD-style OpenSSH Powell-BSD-style public-domain
ii  ssh-import-id                  5.6-1                          all    securely retrieve an SSH public key and install it locally   GPL-3
ii  strace                         4.15-2                         armhf  System call tracer                                           unknown
ii  sudo                           1.8.19p1-2.1                   armhf  Provide limited super user privileges to specific users      unknown
ii  systemd                        232-25+deb9u8                  armhf  system and service manager                                   CC0 Expat GPL-2 GPL-2+ LGPL-2.1+ public-domain
ii  systemd-container              232-25+deb9u8                  armhf  systemd container/nspawn tools                               CC0 Expat GPL-2 GPL-2+ LGPL-2.1+ public-domain
ii  systemd-sysv                   232-25+deb9u8                  armhf  system and service manager - SysV links                      CC0 Expat GPL-2 GPL-2+ LGPL-2.1+ public-domain
ii  sysvinit-utils                 2.88dsf-59.9                   armhf  System-V-like utilities                                      GPL-2
ii  tar                            1.29b-1.1                      armhf  GNU version of the tar archiving utility                     GPL-2 GPL-3
ii  tasksel                        3.39                           all    tool for selecting tasks for installation on Debian systems  GPL-2
ii  tasksel-data                   3.39                           all    official tasks used for installation of Debian systems       GPL-2
ii  tcpd                           7.6.q-26                       armhf  Wietse Venema's TCP wrapper utilities                        unknown
ii  timidity                       2.13.2-40.5                    armhf  Software sound renderer (MIDI sequencer, MOD player)         GPL
ii  tk8.6-blt2.5                   2.5.3+dfsg-3                   armhf  graphics extension library for Tcl/Tk - library              MIT-1 MIT-2 MIT-3 MIT-4 MIT-5 MIT-6 Tcl
ii  traceroute                     1:2.1.0-2                      armhf  Traces the route taken by packets over an IPv4/IPv6 network  GPL-2+ LGPL-2.1+
ii  tree                           1.7.0-5                        armhf  displays an indented directory tree, in color                GPL GPL-2
ii  triggerhappy                   0.5.0-1                        armhf  global hotkey daemon for Linux                               GPL-3+
ii  tzdata                         2018g-0+deb9u1                 all    time zone and daylight-saving time data                      public domain
ii  ucf                            3.0036                         all    Update Configuration File(s): preserve user changes to confi GPL-2
ii  udev                           232-25+deb9u8                  armhf  /dev/ and hotplug management daemon                          CC0 Expat GPL-2 GPL-2+ LGPL-2.1+ public-domain
ii  udisks2                        2.1.8-1                        armhf  D-Bus service to access and manipulate storage devices       GPL-2+ LGPL-2+
